x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
0.0154540814881701,0.256263453422981,0.00914191,0.3223267,0.0183156279965829,0.315273800887927
0.0155026742643312,0.25789326834863,0.00914191,0.32575569,0.0184100686415241,0.316973732561079
0.0155665496634189,0.259546455523447,0.00914191,0.32575569,0.0185045092864652,0.31867366423423
0.0156505482800761,0.261232433583679,0.00914191,0.32918468,0.0185989499314063,0.320373595907381
0.0157437164704893,0.262932434993411,0.00914191,0.32918468,0.0186921181218195,0.322073597317114
0.0158368846609025,0.264632436403144,0.00914191,0.33261368,0.0187852863122327,0.323773598726846
0.0159300528513157,0.266332437812876,0.00914191,0.33261368,0.0188784545026459,0.325473600136578
0.0160232210417289,0.268032439222608,0.00914191,0.33604267,0.0189716226930591,0.32717360154631
0.0161163892321421,0.26973244063234,0.00914191,0.33947166,0.0190647908834723,0.328873602956043
0.016213349807095,0.271427388052637,0.00914191,0.33947166,0.0191579590738855,0.330573604365775
0.0163254299621188,0.273092429955804,0.00914191,0.34290066,0.0192523997188266,0.332273536038926
0.0164551496272253,0.274722582088986,0.00914191,0.34290066,0.0193468403637678,0.333973467712078
0.0165899091523554,0.276342765716459,0.00914191,0.34632965,0.0194412810087089,0.335673399385229
0.0167246686774855,0.277962949343932,0.00914191,0.34632965,0.01953572165365,0.337373331058381
0.0168441455796888,0.279559760722237,0.00914191,0.34975864,0.0196301622985912,0.339073262731532
0.0169391702852095,0.281119176501875,0.00914191,0.34975864,0.0197246029435323,0.340773194404683
0.0170250254169742,0.282664568932013,0.00914191,0.35318764,0.0198190435884734,0.342473126077835
0.0171008008286916,0.28422989837357,0.00914191,0.35318764,0.0199134842334146,0.344173057750986
0.0171673984484938,0.285853851092324,0.00914191,0.35661663,0.0200079248783557,0.345872989424138
0.0172483685449314,0.287535136421164,0.00914191,0.35661663,0.0201010930687689,0.34757299083387
0.017329338641369,0.289216421750005,0.00914191,0.36347466,0.0201942612591821,0.349272992243602
0.0173871422262043,0.290860274437449,0.00914191,0.36347466,0.0202874294495953,0.350972993653334
0.0174352498479407,0.292485340827809,0.00914191,0.36690365,0.0203819424647848,0.352672919283306
0.0174896315746322,0.294095491502332,0.00914191,0.36690365,0.0204790727592786,0.354372699396936
0.0175617302794943,0.295665868593635,0.00914191,0.37033264,0.020574858228996,0.356072555290326
0.0176464286344154,0.297211324420665,0.00914191,0.37376163,0.0206680264194092,0.357772556700059
0.0177398435562155,0.298741764092238,0.00914191,0.37376163,0.0207611946098224,0.359472558109791
0.01785341791811,0.300232329740971,0.00914191,0.37719063,0.0208556352547635,0.361172489782942
0.017973478880893,0.301688625225763,0.00914191,0.37719063,0.0209500758997047,0.362872421456094
